"","x"
"926","SLC16A1"
"927","SLC16A1-AS1"
"928","LRIG2"
"929","MAGI3"
"930","PHTF1"
"931","RSBN1"
"932","PTPN22"
"933","BCL2L15"
"934","AP4B1"
"935","DCLRE1B"
"936","HIPK1"
"937","OLFML3"
"938","SYT6"
"939","TRIM33"
"940","BCAS2"
"941","DENND2C"
"942","NRAS"
"943","CSDE1"
"944","SIKE1"
"945","TSPAN2"
"946","NGF"
"947","VANGL1"
"948","SLC22A15"
"949","MAB21L3"
"950","ATP1A1"
"951","ATP1A1-AS1"
"952","AL390066.1"
"953","CD58"
"954","IGSF3"
"955","CD2"
"956","PTGFRN"
"957","CD101"
"958","TTF2"
"959","TRIM45"
"960","MAN1A2"
"961","TENT5C"
"962","GDAP2"
"963","WDR3"
"964","SPAG17"
"965","TBX15"
"966","WARS2"
"967","WARS2-AS1"
"968","LINC00622"
"969","ZNF697"
"970","PHGDH"
"971","NOTCH2"
"972","SEC22B"
"973","NBPF26"
"974","LINC00623"
"975","FCGR1B"
"976","SRGAP2C"
"977","LINC02798"
"978","AC239800.2"
"979","LINC02591"
"980","LINC02802"
"981","AC246785.3"
"982","NBPF15"
"983","SRGAP2B"
"984","NBPF20"
"985","GPR89A"
"986","PDZK1"
"987","CD160"
"988","RNF115"
"989","POLR3C"
"990","NUDT17"
"991","PIAS3"
"992","ANKRD35"
"993","ITGA10"
"994","PEX11B"
"995","RBM8A"
"996","LIX1L"
"997","ANKRD34A"
"998","POLR3GL"
"999","TXNIP"
"1000","AC239799.2"
"1001","LINC01719"
"1002","NBPF10"
"1003","NOTCH2NLA"
"1004","AC245407.2"
"1005","NBPF12"
"1006","PRKAB2"
"1007","AC242426.2"
"1008","FMO5"
"1009","CHD1L"
"1010","BCL9"
"1011","ACP6"
"1012","GJA5"
"1013","GPR89B"
"1014","AC239803.1"
"1015","LINC02804"
"1016","NBPF11"
"1017","AC239809.3"
"1018","LINC01138"
"1019","PPIAL4G"
"1020","NBPF14"
"1021","PDE4DIP"
"1022","NBPF9"
"1023","AC245297.3"
"1024","AC245297.2"
"1025","NOTCH2NLC"
"1026","NBPF19"
"1027","FCGR1A"
"1028","HIST2H2AA4"
"1029","AC239868.1"
"1030","HIST2H2BE"
"1031","HIST2H2AC"
"1032","BOLA1"
"1033","SV2A"
"1034","SF3B4"
"1035","MTMR11"
"1036","OTUD7B"
"1037","AC244033.2"
"1038","VPS45"
"1039","PLEKHO1"
"1040","ANP32E"
"1041","APH1A"
"1042","C1orf54"
"1043","CIART"
"1044","MRPS21"
"1045","PRPF3"
"1046","RPRD2"
"1047","TARS2"
"1048","ECM1"
"1049","AL356356.1"
"1050","ADAMTSL4"
"1051","ADAMTSL4-AS1"
"1052","MCL1"
"1053","ENSA"
"1054","GOLPH3L"
"1055","CTSS"
"1056","CTSK"
"1057","ARNT"
"1058","SETDB1"
"1059","CERS2"
"1060","ANXA9"
"1061","MINDY1"
"1062","PRUNE1"
"1063","C1orf56"
"1064","CDC42SE1"
"1065","MLLT11"
"1066","GABPB2"
"1067","SEMA6C"
"1068","TNFAIP8L2"
"1069","SCNM1"
"1070","LYSMD1"
"1071","VPS72"
"1072","PIP5K1A"
"1073","PSMD4"
"1074","ZNF687-AS1"
"1075","ZNF687"
"1076","PI4KB"
"1077","RFX5"
"1078","AL391069.2"
"1079","SELENBP1"
"1080","PSMB4"
"1081","POGZ"
"1082","CGN"
"1083","TUFT1"
"1084","SNX27"
"1085","MRPL9"
"1086","OAZ3"
"1087","TDRKH"
"1088","LINGO4"
"1089","RORC"
"1090","THEM4"
"1091","S100A10"
"1092","S100A11"
"1093","TCHH"
"1094","FLG-AS1"
"1095","S100A9"
"1096","S100A12"
"1097","S100A8"
"1098","S100A6"
"1099","S100A4"
"1100","S100A3"
"1101","S100A2"
"1102","BX470102.2"
"1103","S100A16"
"1104","S100A14"
"1105","S100A13"
"1106","S100A1"
"1107","AL162258.2"
"1108","CHTOP"
"1109","SNAPIN"
"1110","ILF2"
"1111","NPR1"
"1112","INTS3"
"1113","SLC27A3"
"1114","GATAD2B"
"1115","DENND4B"
"1116","CRTC2"
"1117","SLC39A1"
"1118","AL358472.4"
"1119","AL358472.3"
"1120","CREB3L4"
"1121","JTB"
"1122","AL358472.2"
"1123","RAB13"
"1124","RPS27"
"1125","TPM3"
"1126","C1orf43"
"1127","UBAP2L"
"1128","HAX1"
"1129","ATP8B2"
"1130","IL6R"
"1131","SHE"
"1132","TDRD10"
"1133","UBE2Q1"
"1134","ADAR"
"1135","KCNN3"
"1136","PMVK"
"1137","PBXIP1"
"1138","PYGO2"
"1139","AL451085.2"
"1140","SHC1"
"1141","CKS1B"
"1142","FLAD1"
"1143","ZBTB7B"
"1144","DCST2"
"1145","DCST1-AS1"
"1146","ADAM15"
"1147","EFNA4"
"1148","EFNA3"
"1149","EFNA1"
"1150","SLC50A1"
"1151","DPM3"
"1152","KRTCAP2"
"1153","TRIM46"
"1154","MUC1"
"1155","AC234582.1"
"1156","THBS3"
"1157","MTX1"
"1158","GBA"
"1159","FAM189B"
"1160","SCAMP3"
"1161","CLK2"
"1162","HCN3"
"1163","FDPS"
"1164","RUSC1-AS1"
"1165","RUSC1"
"1166","ASH1L"
"1167","ASH1L-AS1"
"1168","MSTO1"
"1169","AL353807.5"
"1170","YY1AP1"
"1171","DAP3"
"1172","GON4L"
"1173","SYT11"
"1174","RIT1"
"1175","KHDC4"
"1176","ARHGEF2"
"1177","AL355388.2"
"1178","SSR2"
"1179","UBQLN4"
"1180","LAMTOR2"
"1181","MEX3A"
"1182","LMNA"
"1183","SEMA4A"
"1184","SLC25A44"
"1185","PMF1"
"1186","BGLAP"
"1187","PAQR6"
"1188","SMG5"
"1189","TMEM79"
"1190","GLMP"
"1191","CCT3"
"1192","MEF2D"
"1193","IQGAP3"
"1194","NAXE"
"1195","GPATCH4"
"1196","HAPLN2"
"1197","AL365181.3"
"1198","NES"
"1199","CRABP2"
"1200","ISG20L2"
"1201","RRNAD1"
"1202","MRPL24"
"1203","HDGF"
"1204","PRCC"
"1205","SH2D2A"
"1206","NTRK1"
"1207","PEAR1"
"1208","ARHGEF11"
"1209","ETV3"
"1210","FCRL5"
"1211","FCRL3"
"1212","FCRL2"
"1213","KIRREL1"
"1214","LINC01704"
"1215","CD1D"
"1216","CD1C"
"1217","MNDA"
"1218","PYHIN1"
"1219","IFI16"
"1220","AIM2"
"1221","CADM3"
"1222","ACKR1"
"1223","FCER1A"
"1224","DUSP23"
"1225","FCRL6"
"1226","SLAMF8"
"1227","AL590560.2"
"1228","AL590560.3"
"1229","TAGLN2"
"1230","PIGM"
"1231","IGSF8"
"1232","ATP1A2"
"1233","AL121987.2"
"1234","PEA15"
"1235","DCAF8"
"1236","PEX19"
"1237","COPA"
"1238","NCSTN"
"1239","NHLH1"
"1240","VANGL2"
"1241","SLAMF6"
"1242","CD84"
"1243","SLAMF1"
"1244","CD48"
"1245","SLAMF7"
"1246","LY9"
"1247","CD244"
"1248","ITLN1"
"1249","F11R"
"1250","TSTD1"
"1251","USF1"
"1252","ARHGAP30"
"1253","KLHDC9"
"1254","PFDN2"
"1255","NIT1"
"1256","DEDD"
"1257","UFC1"
"1258","USP21"
"1259","PPOX"
"1260","B4GALT3"
"1261","ADAMTS4"
"1262","NDUFS2"
"1263","FCER1G"
"1264","TOMM40L"
"1265","MPZ"
"1266","SDHC"
"1267","AL592295.5"
"1268","FCGR2A"
"1269","HSPA6"
"1270","FCGR3A"
"1271","FCGR3B"
"1272","FCGR2B"
"1273","FCRLA"
"1274","FCRLB"
"1275","DUSP12"
"1276","ATF6"
"1277","OLFML2B"
"1278","C1orf226"
"1279","SH2D1B"
"1280","UHMK1"
"1281","UAP1"
"1282","DDR2"
"1283","HSD17B7"
"1284","RGS4"
"1285","RGS5"
"1286","AL592435.1"
"1287","NUF2"
"1288","PBX1"
"1289","MGST3"
"1290","ALDH9A1"
"1291","TMCO1"
"1292","UCK2"
"1293","FAM78B"
"1294","AL596087.2"
"1295","POGK"
"1296","TADA1"
"1297","ILDR2"
"1298","MAEL"
"1299","AL451050.2"
"1300","POU2F1"
"1301","CD247"
"1302","CREG1"
"1303","RCSD1"
"1304","MPZL1"
"1305","MPC2"
"1306","DCAF6"
"1307","GPR161"
"1308","TIPRL"
"1309","SFT2D2"
"1310","TBX19"
"1311","XCL2"
"1312","XCL1"
"1313","DPT"
"1314","LINC00626"
"1315","ATP1B1"
"1316","NME7"
"1317","BLZF1"
"1318","SLC19A2"
"1319","Z99572.1"
"1320","F5"
"1321","SELP"
"1322","C1orf112"
"1323","SELL"
"1324","METTL18"
"1325","SCYL3"
"1326","KIFAP3"
"1327","GORAB"
"1328","PRRX1"
"1329","FMO3"
"1330","FMO2"
"1331","FMO1"
"1332","FMO4"
"1333","PRRC2C"
"1334","MYOCOS"
"1335","MYOC"
"1336","VAMP4"
"1337","EEF1AKNMT"
"1338","DNM3"
"1339","DNM3OS"
"1340","PIGC"
"1341","SUCO"
"1342","FASLG"
